table_schema,table_name,table_type
public,uptime_uptimesubscription,BASE TABLE
public,uptime_uptimesubscriptionregion,BASE TABLE
public,workflow_engine_action,BASE TABLE
public,workflow_engine_actionalertruletriggeraction,BASE TABLE
public,workflow_engine_actiongroupstatus,BASE TABLE
public,workflow_engine_alertruledetector,BASE TABLE
public,workflow_engine_alertruleworkflow,BASE TABLE
public,workflow_engine_datacondition,BASE TABLE
public,workflow_engine_dataconditiongroup,BASE TABLE
public,workflow_engine_dataconditiongroupaction,BASE TABLE
public,workflow_engine_datasource,BASE TABLE
public,workflow_engine_datasourcedetector,BASE TABLE
public,workflow_engine_detector,BASE TABLE
public,workflow_engine_detectorstate,BASE TABLE
public,workflow_engine_detectorworkflow,BASE TABLE
public,workflow_engine_workflow,BASE TABLE
public,workflow_engine_workflowaction,BASE TABLE
public,workflow_engine_workflowdataconditiongroup,BASE TABLE
